ID Cliente,Cantidad Estimada (cajas),Categoría Recomendada Nombre,Producto Recomendado Nombre
1060,4.0,BEBIDAS DE FRUTA,JDV Nrj Choice 1.25 Lts vid 12B
1061,1.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 1 Lts NR 6B
1062,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1063,0.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1064,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1065,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1067,1.0,BEBIDAS ENERGETICAS,MONSTER LATA ULTRA ZERO 473 ML 4B (P.E.)
1068,3.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1069,2.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 1 Lts NR 6B
107,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1070,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1071,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1072,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1073,1.0,TÉ,Fuze Tea Negro 3.0 250ml NR Pet 12B
1074,3.0,AGUA PURIFICADA,Dasani S/G 3.8 Lts NR Pet 4B
1075,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1076,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1077,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1078,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1079,2.0,AGUA PURIFICADA,Dasani S/G Scap 1.2 Lts NR Pet 12B Pilot
108,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1080,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1081,1.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
1082,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1083,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1084,0.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1085,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1086,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1087,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1088,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1089,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
109,2.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1090,2.0,TÉ,Fuze Tea Negro 3.0 1.5L NR Pet 6B
1091,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1092,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1093,1.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
1094,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1095,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1096,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1097,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1098,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1099,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
11,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
110,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1100,2.0,TÉ,Fuze Tea Negro 3.0 1.5L NR Pet 6B
1101,0.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1102,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1103,2.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1104,0.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1105,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1106,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1107,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1108,6.0,AGUA PURIFICADA,Dasani S/G 6.05 Lts NR Pet 4B
1109,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
111,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1110,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1112,2.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1114,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1115,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1116,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1117,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1118,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1119,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
112,1.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
1120,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1121,2.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1122,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1123,2.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1124,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1125,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1126,2.0,BEBIDAS DE FRUTA,JDV Nrja Choice 950 ml NR Pet 12B
1127,1.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 550ml NR 12B
1128,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1129,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
113,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1130,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1131,0.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1132,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1133,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1134,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1135,1.0,ISOTÓNICOS,Powerade Mora Azul 1L NR Pet 6B
1136,4.0,AGUA PURIFICADA,Dasani S/G 6.05 Lts NR Pet 4B
1137,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1138,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1139,2.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
114,0.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1140,2.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 550ml NR 12B
1141,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1142,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1143,2.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1144,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1145,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1146,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1147,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1148,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1149,1.0,BEBIDAS ENERGETICAS,MONSTER LATA ULTRA ZERO 473 ML 4B (P.E.)
115,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1150,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1151,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1152,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1153,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1154,0.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1155,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1156,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1157,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1159,2.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
116,1.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
1160,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1161,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1162,2.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
1163,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1164,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1165,1.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
1167,0.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1168,1.0,BEBIDAS ENERGETICAS,MONSTER LATA ULTRA ZERO 473 ML 4B (P.E.)
1169,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
117,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1170,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1171,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1172,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1174,1.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 1 Lts NR 6B
1175,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1176,1.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 550ml NR 12B
1177,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1178,1.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
1179,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
118,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1180,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1181,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1182,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1183,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1186,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1187,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1188,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1189,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
119,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1190,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1192,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1193,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1194,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1195,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1196,1.0,BEBIDAS ENERGETICAS,Monster Lata 473 ml 4B
1197,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1198,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1199,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
12,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
120,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1200,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1201,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1202,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1204,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1205,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1206,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1207,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1208,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1209,0.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1210,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1211,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1212,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1213,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1214,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1215,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1216,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1217,1.0,BEBIDAS ENERGETICAS,MONSTER LATA ULTRA ZERO 473 ML 4B (P.E.)
1218,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1219,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
122,1.0,BEBIDAS ENERGETICAS,Monster Lata 473 ml 4B
1221,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1222,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1223,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1224,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1225,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1226,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1228,0.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
123,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1230,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1232,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1233,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1234,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1235,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1237,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1239,1.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 1 Lts NR 6B
124,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1240,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1241,4.0,AGUA PURIFICADA,Dasani S/G Scap 1.2 Lts NR Pet 12B
1242,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1243,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1244,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1245,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1247,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1248,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1249,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
125,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1250,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1251,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1252,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1254,1.0,BEBIDAS ENERGETICAS,Monster Lata 473 ml 4B
1255,1.0,TÉ,Fuze Tea Negro 3.0 300ml Ret Vid 24B
1256,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1257,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1258,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1259,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
126,1.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 1 Lts NR 6B
1260,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1261,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1262,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1263,2.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1264,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1265,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1266,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1267,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1268,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1269,1.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 1 Lts NR 6B
127,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1270,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1271,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1272,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1274,2.0,TÉ,Fuze Tea Negro 3.0 1.5L NR Pet 6B
1275,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1276,1.0,BEBIDAS ENERGETICAS,Monster Lata 473 ml 4B
1277,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1278,0.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1279,0.0,TÉ,Fuze Tea ColdFill Mgo-Mnll 1 Lts NR 6B
128,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1280,1.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
1281,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1282,0.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
1283,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1284,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1285,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1287,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1288,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1289,2.0,TÉ,Fuze Tea Negro 3.0 1.5L NR Pet 6B
129,1.0,TÉ,Fuze Tea Negro 3.0 550ml NR Pet 12B
1290,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
1291,0.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1292,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1293,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1295,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1296,1.0,BEBIDAS ENERGETICAS,Monster Lata 473 ml 4B
1298,1.0,AGUA MINERAL,DASANI CG MARACUYA 300ml NR PET 12B
13,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
130,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1300,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1301,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1302,0.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1303,1.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
1304,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1305,1.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
1306,1.0,ISOTÓNICOS,Powerade Mora Azul 1L NR Pet 6B
1307,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1308,1.0,TÉ,Fuze Tea Negro 3.0 1L NR Pet 6B
1309,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1310,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1311,1.0,AGUA MINERAL,DASANI CG MZN 300ml NR PET 12B
1312,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1313,1.0,BEBIDAS ENERGETICAS,MONSTER LATA MANGO LOCO 473ML 4B
1314,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1315,1.0,BEBIDAS ENERGETICAS,Monster Lata Ultra Zero 473 ml 4B
1316,1.0,AGUA MINERAL,Dasani Mineralizada 500 ml NR Pet 12B
1317,1.0,BEBIDAS ENERGETICAS,MONSTER LATA 473ml ZERO SUGAR
