ID Cliente,Volumen Estimado,Producto Recomendado
1052,3.0,Coca-Cola E 1Lt NR Pet 12B
1053,2.0,Coca-Cola E 3 Lts NR 6B
1054,2.0,Coca-Cola SA KZ 1.25Lts Ret Vid 12B TAC
1055,2.0,Coca-Cola E 3 Lts NR 6B
1056,8.0,Coca-Cola E 1Lt NR Pet 12B
1057,3.0,Coca-Cola E 1Lt NR Pet 12B
1058,9.0,Coca-Cola 300 ml NR Pet 12B
1059,5.0,Coca-Cola 300 ml NR Pet 12B
106,7.0,Coca-Cola 300 ml NR Pet 12B
1060,6.0,Coca-Cola E 3 Lts NR 6B
1061,3.0,Coca-Cola 300 ml Ret Vid 24B (V)
1062,2.0,Coca-Cola E 1Lt NR Pet 12B
1063,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1064,2.0,Coca-Cola E 1Lt NR Pet 12B
1065,2.0,Coca-Cola E 1Lt NR Pet 12B
1067,6.0,Coca-Cola 300 ml Ret Vid 24B (V)
1068,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1069,2.0,Coca-Cola SA KZ 1.25Lts Ret Vid 12B TAC
107,4.0,Coca-Cola E 1Lt NR Pet 12B
1070,4.0,Coca-Cola 300 ml NR Pet 12B
1071,2.0,Coca-Cola E 1Lt NR Pet 12B
1072,3.0,Coca-Cola E 1Lt NR Pet 12B
1073,6.0,Coca-Cola 300 ml NR Pet 12B
1074,6.0,Coca-Cola E 1Lt NR Pet 12B
1075,4.0,Coca-Cola E 3 Lts NR 6B
1076,3.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1077,3.0,Coca-Cola 300 ml Ret Vid 24B (V)
1078,3.0,Coca-Cola E 1Lt NR Pet 12B
1079,3.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
108,6.0,Coca-Cola 300 ml Ret Vid 24B (V)
1080,3.0,Coca-Cola E 1Lt NR Pet 12B
1081,2.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1082,12.0,Coca-Cola 300 ml NR Pet 12B
1083,2.0,Coca-Cola E 1Lt NR Pet 12B
1084,2.0,Coca-Cola 300 ml NR Pet 12B
1085,2.0,Coca-Cola 300 ml NR Pet 12B
1086,3.0,Coca-Cola 300 ml NR Pet 12B
1087,6.0,Coca-Cola 300 ml NR Pet 12B
1088,1.0,Coca-Cola E 1.35 Lts NR Pet 12B
1089,2.0,Coca-Cola 300 ml NR Pet 12B
109,9.0,Coca-Cola 300 ml NR Pet 12B
1090,2.0,Coca-Cola E 1Lt NR Pet 12B
1091,5.0,Coca-Cola E 1Lt NR Pet 12B
1092,2.0,Coca-Cola E 3 Lts NR 6B
1093,4.0,Coca-Cola 300 ml NR Pet 12B
1094,3.0,Coca-Cola E 1Lt NR Pet 12B
1095,2.0,Coca-Cola E 1Lt NR Pet 12B
1096,4.0,Coca-Cola E 3 Lts NR 6B
1097,2.0,Coca-Cola 300 ml NR Pet 12B
1098,3.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1099,2.0,Coca-Cola 300 ml NR Pet 12B
11,6.0,Coca-Cola 300 ml NR Pet 12B
110,7.0,Coca-Cola E 2Lts NR Pet 6B
1100,4.0,Coca-Cola E 3 Lts NR 6B
1101,4.0,Coca-Cola E 1Lt NR Pet 12B
1102,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1103,8.0,Coca-Cola 300 ml NR Pet 12B
1104,4.0,Coca-Cola 300 ml NR Pet 12B
1105,3.0,Coca-Cola E 1Lt NR Pet 12B
1106,6.0,Coca-Cola E 1Lt NR Pet 12B
1107,3.0,Coca-Cola 300 ml NR Pet 12B
1108,2.0,Coca-Cola E 1Lt NR Pet 12B
1109,2.0,Coca-Cola 300 ml NR Pet 12B
111,6.0,Coca-Cola 300 ml NR Pet 12B
1110,3.0,Inca-Kola Choice 1L NR Pet 12B
1112,4.0,Coca-Cola 300 ml Ret Vid 24B (V)
1114,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1115,3.0,D.Valle TTPack Drz 250ml NR 12B SB 3.0
1116,3.0,Coca-Cola E 1Lt NR Pet 12B
1117,2.0,Coca-Cola E 1Lt NR Pet 12B
1118,4.0,Coca-Cola 300 ml NR Pet 12B
1119,4.0,Coca-Cola E 1Lt NR Pet 12B
112,2.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1120,3.0,Coca-Cola E 1Lt NR Pet 12B
1121,2.0,Coca-Cola 300 ml NR Pet 12B
1122,2.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1123,2.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1124,4.0,Coca-Cola 300 ml NR Pet 12B
1125,2.0,Coca-Cola E 1Lt NR Pet 12B
1126,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1127,11.0,Coca-Cola E 3 Lts NR 6B
1128,7.0,Coca-Cola E 1Lt NR Pet 12B
1129,5.0,Coca-Cola 300 ml NR Pet 12B
113,9.0,Coca-Cola 300 ml Ret Vid 24B (V)
1130,2.0,Coca-Cola 300 ml NR Pet 12B
1131,4.0,Coca-Cola E 1Lt NR Pet 12B
1132,11.0,Coca-Cola 300 ml NR Pet 12B
1133,21.0,Coca-Cola 300 ml NR Pet 12B
1134,11.0,Coca-Cola 300 ml NR Pet 12B
1135,2.0,Inca Kola Choice 300 ml NR Pet 12B
1136,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1137,2.0,Coca-Cola E 1Lt NR Pet 12B
1138,4.0,Coca-Cola 300 ml NR Pet 12B
1139,3.0,Coca-Cola 300 ml NR Pet 12B
114,3.0,Coca-Cola 300 ml Ret Vid 24B (V)
1140,3.0,Coca-Cola 300 ml NR Pet 12B
1141,4.0,Inca Kola Choice 300 ml NR Pet 12B
1142,2.0,Coca-Cola E 1Lt NR Pet 12B
1143,2.0,Coca-Cola E 1Lt NR Pet 12B
1144,3.0,Coca-Cola E 3 Lts NR 6B
1145,5.0,Coca-Cola 300 ml NR Pet 12B
1146,5.0,Inca-Kola Choice 1L NR Pet 12B
1147,2.0,Coca-Cola SA KZ 1.25Lts Ret Vid 12B TAC
1148,4.0,Coca-Cola E 1Lt NR Pet 12B
1149,4.0,Coca-Cola 300 ml NR Pet 12B
115,4.0,Coca-Cola 300 ml NR Pet 12B
1150,3.0,Coca-Cola 300 ml NR Pet 12B
1151,3.0,Coca-Cola SA KZ 1.25Lts Ret Vid 12B TAC
1152,6.0,D.Valle TT Pack Drz 1Lts NR 6B 3.0
1153,2.0,Coca-Cola 300 ml NR Pet 12B
1154,21.0,Coca-Cola 300 ml NR Pet 12B
1155,4.0,Coca-Cola 300 ml NR Pet 12B
1156,3.0,Coca-Cola 300 ml Ret Vid 24B (V)
1157,2.0,Coca-Cola E 1Lt NR Pet 12B
1159,7.0,Coca-Cola E 1Lt NR Pet 12B
116,1.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1160,2.0,Coca-Cola E 1.35 Lts NR Pet 12B
1161,4.0,Coca-Cola 300 ml NR Pet 12B
1162,3.0,Coca-Cola E 1Lt NR Pet 12B
1163,5.0,Coca-Cola E 1Lt NR Pet 12B
1164,3.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1165,3.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1167,11.0,Coca-Cola 300 ml NR Pet 12B
1168,3.0,Coca-Cola E 1Lt NR Pet 12B
1169,4.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
117,9.0,Coca-Cola 300 ml NR Pet 12B
1170,3.0,Coca-Cola 300 ml NR Pet 12B
1171,3.0,Coca-Cola 300 ml NR Pet 12B
1172,3.0,Coca-Cola 300 ml Ret Vid 24B (V)
1174,4.0,Coca-Cola 300 ml NR Pet 12B
1175,3.0,Coca-Cola 300 ml NR Pet 12B
1176,4.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1177,3.0,Coca-Cola 300 ml Ret Vid 24B (V)
1178,2.0,Coca-Cola E 3 Lts NR 6B
1179,5.0,Coca-Cola 300 ml NR Pet 12B
118,8.0,Coca-Cola E 1Lt NR Pet 12B
1180,4.0,Coca-Cola 300 ml NR Pet 12B
1181,2.0,Coca-Cola 300 ml NR Pet 12B
1182,6.0,Coca-Cola 300 ml Ret Vid 24B (V)
1183,2.0,Coca-Cola 300 ml NR Pet 12B
1186,7.0,Coca-Cola 300 ml Ret Vid 24B (V)
1187,8.0,Coca-Cola 300 ml NR Pet 12B
1188,2.0,Coca-Cola E 1Lt NR Pet 12B
1189,2.0,Coca-Cola E 1Lt NR Pet 12B
119,2.0,Coca-Cola 300 ml NR Pet 12B
1190,3.0,Coca-Cola E 1.35 Lts NR Pet 12B
1192,2.0,Coca-Cola E 1Lt NR Pet 12B
1193,3.0,Coca-Cola E 1Lt NR Pet 12B
1194,6.0,Coca-Cola 300 ml NR Pet 12B
1195,56.0,Coca-Cola E 1Lt NR Pet 12B
1196,2.0,Coca-Cola 300 ml NR Pet 12B
1197,4.0,Coca-Cola 300 ml Ret Vid 24B (V)
1198,4.0,Coca-Cola E 1Lt NR Pet 12B
1199,3.0,Coca-Cola 300 ml NR Pet 12B
12,2.0,Coca-Cola E 1Lt NR Pet 12B
120,6.0,Coca-Cola 300 ml NR Pet 12B
1200,6.0,Coca-Cola E 1Lt NR Pet 12B
1201,2.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1202,4.0,Coca-Cola 300 ml NR Pet 12B
1204,3.0,Coca-Cola 300 ml NR Pet 12B
1205,2.0,Coca-Cola E 1Lt NR Pet 12B
1206,4.0,Inca-Kola Choice 1L NR Pet 12B
1207,4.0,Coca-Cola E 3 Lts NR 6B
1208,3.0,Coca-Cola E 1Lt NR Pet 12B
1209,2.0,Coca-Cola E 1Lt NR Pet 12B
1210,4.0,Coca-Cola 300 ml NR Pet 12B
1211,11.0,Coca-Cola E 500 ml NR Pet 12B
1212,10.0,Coca-Cola 300 ml NR Pet 12B
1213,3.0,Coca-Cola E 1Lt NR Pet 12B
1214,2.0,Coca-Cola E 1Lt NR Pet 12B
1215,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1216,2.0,Coca-Cola 300 ml NR Pet 12B
1217,5.0,Coca-Cola 300 ml NR Pet 12B
1218,4.0,Coca-Cola 300 ml NR Pet 12B
1219,3.0,Coca-Cola E 1Lt NR Pet 12B
122,1.0,Coca-Cola 300 ml NR Pet 12B
1221,3.0,Coca-Cola 300 ml NR Pet 12B
1222,2.0,Coca-Cola E 1Lt NR Pet 12B
1223,4.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1224,50.0,Coca-Cola 300 ml NR Pet 12B
1225,3.0,Coca-Cola E 1Lt NR Pet 12B
1226,3.0,Coca-Cola E 1Lt NR Pet 12B
1228,4.0,JDV Nrja Choice 950 ml NR Pet 12B
123,2.0,Coca-Cola 300 ml NR Pet 12B
1230,3.0,Coca-Cola 300 ml Ret Vid 24B (V)
1232,3.0,Coca-Cola E 1Lt NR Pet 12B
1233,7.0,Coca-Cola E 3 Lts NR 6B
1234,3.0,Coca-Cola E 1Lt NR Pet 12B
1235,3.0,Coca-Cola E 3 Lts NR 6B
1237,5.0,Inca-Kola Choice 1L NR Pet 12B
1239,4.0,Coca-Cola E 3 Lts NR 6B
124,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1240,6.0,Coca-Cola 300 ml NR Pet 12B
1241,2.0,Coca-Cola E 1Lt NR Pet 12B
1242,3.0,Coca-Cola E 1Lt NR Pet 12B
1243,2.0,Coca-Cola 300 ml NR Pet 12B
1244,3.0,Coca-Cola E 1Lt NR Pet 12B
1245,2.0,Coca-Cola E 1Lt NR Pet 12B
1247,4.0,Coca-Cola E 1Lt NR Pet 12B
1248,2.0,Coca-Cola E 1Lt NR Pet 12B
1249,9.0,Coca-Cola 300 ml NR Pet 12B
125,5.0,Coca-Cola 300 ml NR Pet 12B
1250,6.0,Coca-Cola 300 ml NR Pet 12B
1251,3.0,Coca-Cola 300 ml NR Pet 12B
1252,7.0,Coca-Cola E 1Lt NR Pet 12B
1254,2.0,Coca-Cola E 1Lt NR Pet 12B
1255,5.0,Coca-Cola E 1Lt NR Pet 12B
1256,4.0,Coca-Cola 300 ml NR Pet 12B
1257,3.0,Coca-Cola 300 ml NR Pet 12B
1258,2.0,Coca-Cola E 1Lt NR Pet 12B
1259,3.0,Coca-Cola 300 ml Ret Vid 24B (V)
126,2.0,Coca-Cola 300 ml NR Pet 12B
1260,11.0,Coca-Cola E 1Lt NR Pet 12B
1261,2.0,Inca-Kola Choice 1L NR Pet 12B
1262,6.0,Coca-Cola 300 ml NR Pet 12B
1263,2.0,Coca-Cola E 3 Lts NR 6B
1264,1.0,Coca-Cola 300 ml NR Pet 12B
1265,4.0,Coca-Cola E 1Lt NR Pet 12B
1266,5.0,Coca-Cola 300 ml NR Pet 12B
1267,6.0,Coca-Cola 300 ml NR Pet 12B
1268,6.0,Coca-Cola 300 ml NR Pet 12B
1269,3.0,Coca-Cola E 1Lt NR Pet 12B
127,5.0,Coca-Cola E 3 Lts NR 6B
1270,2.0,Coca-Cola E 1Lt NR Pet 12B
1271,4.0,Coca-Cola 300 ml Ret Vid 24B (V)
1272,5.0,Coca-Cola E 1Lt NR Pet 12B
1274,3.0,Coca-Cola E 1Lt NR Pet 12B
1275,3.0,Coca-Cola 300 ml Ret Vid 24B (V)
1276,3.0,Coca-Cola 300 ml NR Pet 12B
1277,2.0,Coca-Cola 300 ml NR Pet 12B
1278,7.0,Coca-Cola 300 ml NR Pet 12B
1279,2.0,Coca-Cola E 1Lt NR Pet 12B
128,2.0,Coca-Cola 300 ml NR Pet 12B
1280,3.0,Coca-Cola E 1Lt NR Pet 12B
1281,4.0,Coca-Cola E 1Lt NR Pet 12B
1282,3.0,Coca-Cola 300 ml NR Pet 12B
1283,2.0,Inca Kola Choice 300 ml NR Pet 12B
1284,3.0,Coca-Cola 300 ml NR Pet 12B
1285,2.0,Coca-Cola 300 ml NR Pet 12B
1287,3.0,Coca-Cola E 1Lt NR Pet 12B
1288,2.0,Coca-Cola 300 ml NR Pet 12B
1289,4.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
129,3.0,Coca-Cola E 1Lt NR Pet 12B
1290,6.0,Coca-Cola 300 ml NR Pet 12B
1291,2.0,Coca-Cola E 1.35 Lts NR Pet 12B
1292,2.0,Coca-Cola E 3 Lts NR 6B
1293,2.0,Coca-Cola E 1Lt NR Pet 12B
1295,4.0,Coca-Cola E 3 Lts NR 6B
1296,2.0,Coca-Cola E 1Lt NR Pet 12B
1298,9.0,Coca-Cola E 1.35 Lts NR Pet 12B
13,5.0,Coca-Cola 300 ml NR Pet 12B
130,3.0,Coca-Cola E 3 Lts NR 6B
1300,5.0,Fiora Harmony Fresa 2 Lts Ret Pet 9B
1301,3.0,Coca-Cola E 1Lt NR Pet 12B
1302,6.0,Powerade Mora Azul 1L NR Pet 6B
1303,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1304,3.0,Coca-Cola E 1Lt NR Pet 12B
1305,3.0,Coca-Cola E 2Lts NR Pet 6B
1306,2.0,Sprite Harmony 1.35 Lts NR Pet 12B
1307,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1308,2.0,Coca-Cola 300 ml NR Pet 12B
1309,3.0,Coca-Cola SA KZ 1.25Lts Ret Vid 12B TAC
1310,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1311,4.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1312,7.0,Coca-Cola 300 ml NR Pet 12B
1313,3.0,Coca-Cola E 1Lt NR Pet 12B
1314,2.0,Coca-Cola E 1Lt NR Pet 12B
1315,6.0,Coca-Cola 300 ml NR Pet 12B
1316,3.0,Coca-Cola 300 ml NR Pet 12B
1317,2.0,Coca-Cola 300 ml NR Pet 12B
1319,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
132,2.0,Coca-Cola E 3 Lts NR 6B
1320,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1321,2.0,Coca-Cola 300 ml NR Pet 12B
1322,3.0,Coca-Cola 300 ml NR Pet 12B
1323,8.0,Inca Kola Choice 300 ml NR Pet 12B
1324,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1325,3.0,Coca-Cola E 1Lt NR Pet 12B
1326,4.0,Coca-Cola E 1Lt NR Pet 12B
1327,3.0,Coca-Cola E 1Lt NR Pet 12B
1328,2.0,Coca-Cola 300 ml NR Pet 12B
1329,2.0,Coca-Cola 300 ml NR Pet 12B
133,2.0,Inca-Kola Choice 1L NR Pet 12B
1330,6.0,Coca-Cola 300 ml NR Pet 12B
1331,5.0,Coca-Cola E 1.35 Lts NR Pet 12B
1332,4.0,Coca-Cola 300 ml NR Pet 12B
1334,7.0,Coca-Cola E 1Lt NR Pet 12B
1335,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1336,2.0,Coca-Cola E 1Lt NR Pet 12B
1337,3.0,Coca-Cola E 1Lt NR Pet 12B
1338,2.0,Coca-Cola E 3 Lts NR 6B
1339,3.0,Coca-Cola E 3 Lts NR 6B
134,3.0,Coca-Cola E 1.35 Lts NR Pet 12B
1340,5.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1341,2.0,Coca-Cola E 1Lt NR Pet 12B
1342,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1343,4.0,Coca-Cola E 1Lt NR Pet 12B
1344,2.0,Coca-Cola E 1Lt NR Pet 12B
1345,3.0,Coca-Cola E 1Lt NR Pet 12B
1346,2.0,Coca-Cola E 1.35 Lts NR Pet 12B
1347,2.0,Coca-Cola E 1Lt NR Pet 12B
1348,4.0,Coca-Cola E 3 Lts NR 6B
1349,4.0,Coca-Cola E 1Lt NR Pet 12B
135,4.0,Coca-Cola 300 ml NR Pet 12B
1351,3.0,Coca-Cola E 3 Lts NR 6B
1352,5.0,Coca-Cola 300 ml Ret Vid 24B (V)
1353,4.0,Coca-Cola E 1Lt NR Pet 12B
1354,9.0,Coca-Cola 300 ml NR Pet 12B
1355,3.0,Coca-Cola 300 ml Ret Vid 24B (V)
1356,2.0,Coca-Cola 300 ml NR Pet 12B
1357,2.0,Inca Kola Choice 300 ml NR Pet 12B
1358,4.0,Coca-Cola E 1Lt NR Pet 12B
1359,2.0,Coca-Cola 300 ml NR Pet 12B
136,1.0,Coca-Cola 300 ml NR Pet 12B
1360,4.0,Coca-Cola E 1Lt NR Pet 12B
1361,3.0,Coca-Cola E 3 Lts NR 6B
1362,4.0,Coca-Cola E 1.35 Lts NR Pet 12B
1363,3.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1364,6.0,Coca-Cola 300 ml NR Pet 12B
1365,2.0,Coca-Cola E 1Lt NR Pet 12B
1366,4.0,Coca-Cola 300 ml NR Pet 12B
1368,5.0,Coca-Cola 300 ml NR Pet 12B
1369,3.0,Coca-Cola 300 ml NR Pet 12B
137,4.0,Coca-Cola E 3 Lts NR 6B
1370,2.0,Coca-Cola 300 ml NR Pet 12B
1371,4.0,Coca-Cola 300 ml NR Pet 12B
1372,4.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1373,3.0,Coca-Cola 300 ml NR Pet 12B
1374,2.0,Coca-Cola 300 ml NR Pet 12B
1375,3.0,Powerade Mora Azul 1L NR Pet 6B
1376,8.0,Coca-Cola E 1Lt NR Pet 12B
1377,3.0,Coca-Cola E 1Lt NR Pet 12B
1378,21.0,Coca-Cola E 1Lt NR Pet 12B
1379,3.0,Coca-Cola E 1Lt NR Pet 12B
138,3.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1380,4.0,Coca-Cola E 1Lt NR Pet 12B
1381,3.0,Coca-Cola 300 ml NR Pet 12B
1382,2.0,Coca-Cola E 3 Lts NR 6B
1383,2.0,Coca-Cola 300 ml NR Pet 12B
1384,3.0,Fuze herb Mng Mzl Choice 500ml NR Pet 6B
1385,2.0,Coca-Cola 300 ml NR Pet 12B
1387,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1388,3.0,Coca-Cola E 1Lt NR Pet 12B
1389,4.0,Coca-Cola 300 ml NR Pet 12B
139,4.0,Fanta Harmony Nrj 2Lts Ret Pet 9B
1390,3.0,Coca-Cola 300 ml NR Pet 12B
1392,2.0,Coca-Cola 300 ml NR Pet 12B
1393,9.0,Coca-Cola E 2Lts NR Pet 6B
1394,5.0,Coca-Cola E 1Lt NR Pet 12B
1395,6.0,Coca-Cola 300 ml NR Pet 12B
1396,2.0,Coca-Cola E 1Lt NR Pet 12B
1397,3.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1398,2.0,Coca-Cola E 1Lt NR Pet 12B
1399,4.0,Coca-Cola E 3 Lts NR 6B
14,3.0,Coca-Cola 300 ml Ret Vid 24B (V)
140,3.0,Coca-Cola 300 ml NR Pet 12B
1400,2.0,Coca-Cola E 1Lt NR Pet 12B
1401,3.0,Coca-Cola E 1Lt NR Pet 12B
1402,3.0,Coca-Cola 300 ml NR Pet 12B
1403,2.0,Coca-Cola E 1Lt NR Pet 12B
1404,5.0,Coca-Cola E 3 Lts NR 6B
1405,2.0,Coca-Cola E 1Lt NR Pet 12B
1406,6.0,Coca-Cola 300 ml NR Pet 12B
1407,6.0,Coca-Cola 300 ml NR Pet 12B
1408,23.0,Coca-Cola 300 ml NR Pet 12B
1409,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
141,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1410,2.0,Coca-Cola E 1.35 Lts NR Pet 12B
1412,3.0,Coca-Cola 300 ml NR Pet 12B
1413,2.0,Coca-Cola E 1Lt NR Pet 12B
1415,2.0,Coca-Cola 300 ml NR Pet 12B
1416,3.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1417,6.0,Coca-Cola 300 ml NR Pet 12B
1418,3.0,Coca-Cola 300 ml Ret Vid 24B (V)
1419,5.0,Coca-Cola 300 ml NR Pet 12B
142,4.0,Coca-Cola 300 ml NR Pet 12B
1420,4.0,Coca-Cola E 1Lt NR Pet 12B
1421,6.0,Coca-Cola 300 ml NR Pet 12B
1423,2.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1424,4.0,Coca-Cola E 1Lt NR Pet 12B
1426,5.0,Coca-Cola 300 ml NR Pet 12B
1427,2.0,Coca-Cola E 3 Lts NR 6B
1428,2.0,Coca-Cola 300 ml NR Pet 12B
1429,2.0,Coca-Cola E 1Lt NR Pet 12B
143,6.0,Coca-Cola 300 ml NR Pet 12B
1430,2.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1431,3.0,Coca-Cola E 1Lt NR Pet 12B
1432,3.0,Coca-Cola E 1Lt NR Pet 12B
1433,4.0,Coca-Cola 300 ml Ret Vid 24B (V)
1434,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1435,2.0,Coca-Cola E 3 Lts NR 6B
1436,3.0,Coca-Cola E 3 Lts NR 6B
1437,4.0,Coca-Cola 300 ml Ret Vid 24B (V)
1438,2.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1439,3.0,Coca-Cola E 3 Lts NR 6B
144,6.0,Coca-Cola SA KZ 2 Lts Ret-Pet 9B TAC
1440,3.0,Coca-Cola E 1Lt NR Pet 12B
1441,3.0,Coca-Cola E 1Lt NR Pet 12B
1442,3.0,Coca-Cola 300 ml NR Pet 12B
1443,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1444,3.0,Coca-Cola 300 ml NR Pet 12B
1445,16.0,Coca-Cola 300 ml NR Pet 12B
1446,10.0,Coca-Cola 300 ml NR Pet 12B
1447,3.0,Coca-Cola 300 ml Ret Vid 24B (V)
1448,2.0,Coca-Cola E 1Lt NR Pet 12B
1449,3.0,Coca-Cola E 3 Lts NR 6B
145,7.0,Coca-Cola 300 ml NR Pet 12B
1450,2.0,Coca-Cola 300 ml Ret Vid 24B (V)
1451,2.0,Coca-Cola E 1Lt NR Pet 12B
1452,2.0,Coca-Cola E 3 Lts NR 6B
1453,3.0,Sprite Harmony 2 Lts Ret Pet 9B
1454,2.0,Coca-Cola E 1Lt NR Pet 12B
1456,2.0,Coca-Cola E 1Lt NR Pet 12B
1457,3.0,Coca-Cola 300 ml NR Pet 12B
